date,SDGPEX_DE_div
2023-01-16,0.36
2022-10-17,0.31
2022-07-15,0.58
2022-04-19,0.21
2022-01-17,0.27
2021-10-15,0.29
2021-07-15,0.37
2021-04-15,0.15
2021-01-15,0.19
2020-10-15,0.37
2020-07-15,0.27
2020-04-15,0.18
2020-01-15,0.20
2019-10-15,0.26
2019-07-15,0.52
2019-04-15,0.22
2019-01-15,0.17
2018-10-15,0.24
2018-07-16,0.49
2018-04-16,0.09
2018-01-02,0.16
2017-10-16,0.24
2017-07-17,0.46
2017-04-27,0.23
2017-04-18,0.30
2017-01-16,0.32
2016-10-17,0.18
2016-07-15,0.43
2016-04-15,0.20
2016-01-15,0.21
2015-10-15,0.18
2015-07-15,0.38
2015-04-15,0.37
2015-01-15,0.20
2014-10-15,0.19
2014-07-15,0.32
2014-04-15,0.19
2014-01-15,0.18
2013-10-15,0.16
2013-07-15,0.55
2013-04-15,0.16
2013-01-15,0.36
2012-10-15,0.41
2012-07-16,0.00
2012-04-16,0.48
2012-01-16,0.24
2011-10-17,0.38
2011-07-15,0.00
2011-04-15,0.34
2010-10-15,0.26
2010-07-15,0.22
2010-04-15,0.15
2010-01-15,0.00
