Stock,Allocation
BMY,0.0108
BNS,0.0108
ICE,0.0108
BTI,0.0108
ENB,0.0108
TROW,0.0108
ABC,0.0108
CI,0.0108
CVS,0.0108
FDX,0.0108
RTX,0.0108
TFC,0.0108
OMAB,0.0108
V,0.0081
MO,0.0081
JNJ,0.0081
USB,0.0081
CSCO,0.0081
KMI,0.0081
UNP,0.0081
AFL,0.0081
NVS,0.0081
AMGN,0.0081
PRU,0.0081
TRV,0.0081
DFS,0.0081
BN,0.0081
SWK,0.0081
CAKE,0.0081
HDB,0.0168
BKNG,0.0168
AMZN,0.0144
ADBE,0.0144
GOOGL,0.0144
FI,0.0144
MSTR,0.0120
BLDR,0.0096
MELI,0.0072
GUNR,0.0096
URNM,0.0096
RIO,0.0096
EOG,0.0096
FNV,0.0096
WPM,0.0096
SAND,0.0096
SU,0.0096
NTR,0.0072
CNQ,0.0072
TTE,0.0072
SHEL,0.0072
GOLD,0.0048
PAAS,0.0048
SBSW,0.0048
VWO,0.0360
VPL,0.0360
ILF,0.0324
VGK,0.0324
INDA,0.0252
ASEA,0.0180
BIL,0.0600
GBTC,0.0500
PHYS,0.0500
SHY,0.0500
SLYV,0.0400
SIVR,0.0400
PPLT,0.0200
,
,
