date,VHYA_div
2022-12-28,41.31
2022-09-28,49.38
2022-06-29,91.25
2022-03-30,35.28
2021-12-29,50.74
2021-09-29,51.16
2021-06-30,61.35
2021-03-31,38.01
2020-12-30,33.77
2020-10-07,48.6
2020-06-24,40.38
2020-04-08,39.87
2019-12-27,31.47
2019-10-09,45.76
2019-07-10,70.91
2019-04-10,39.72
2019-01-09,34.84
2018-10-10,47.62
2018-07-05,66.97
2018-04-04,38.66
2018-01-08,33.32
2017-10-04,41.3
2017-07-05,63.86
2017-04-05,34.84
2016-12-30,29.47
2016-10-05,41.38
2016-06-29,57.27
2016-04-01,31.86
2015-12-29,29.09
2015-09-25,37.93
2015-06-26,61.12
2015-03-27,29.43
2014-12-29,27.67
2014-09-26,38.38
2014-06-27,74.86
2014-03-28,56.74
2013-12-27,25.24
2013-10-04,37.79
